"Carimbo de data/hora","Você trabalha ou estuda em qual área? ","Seu nível de familiaridade com Sistemas de Recomendação é: ","Qual é a sua impressão geral sobre a qualidade do conteúdo do vídeo?","A duração do vídeo foi:","O vídeo foi claro de acompanhar?","Avalie os seguintes aspectos do vídeo (1 = Ruim, 5 = Excelente): [Áudio]","Avalie os seguintes aspectos do vídeo (1 = Ruim, 5 = Excelente): [Vídeo e Imagens]","Avalie os seguintes aspectos do vídeo (1 = Ruim, 5 = Excelente): [Edição e Ritmo]","Avalie os seguintes aspectos do vídeo (1 = Ruim, 5 = Excelente): [Visualização]","A explicação sobre os 3 tipos de XRS foi compreensível?","Quais tópicos ou elementos você mais gostou no vídeo? (Selecione todos que se aplicam)","Depois de assistir, você sente que entendeu melhor o conceito de Sistemas de Recomendação Explicáveis?  ","Você vê utilidade prática no conteúdo apresentado?","Você recomendaria este vídeo como material didático a um amigo ou colega?","Sugestões de melhoria ou comentários:"
"2025/12/01 8:24:06 PM GMT-3","Tecnologia / TI","Média","4","Muito longa","4","2","3","2","3","4","Introdução e gancho inicial","4","Sim","Provavelmente sim",""
"2025/12/01 8:25:42 PM GMT-3","Área empresarial","Nenhuma","4","Adequada","4","5","5","5","4","4","Introdução e gancho inicial;Informações/Dados apresentados","4","Definitivamente","Definitivamente sim",""
"2025/12/01 8:26:31 PM GMT-3","Estatística / Matemática","Baixa","5","Adequada","4","4","4","4","3","3","Exemplos e casos de uso","5","Sim","Provavelmente sim",""
"2025/12/01 8:29:11 PM GMT-3","Ciência de Dados / IA / Machine Learning","Alta","5","Adequada","5","4","4","4","4","5","Exemplos e casos de uso","5","Definitivamente","Definitivamente sim",""
"2025/12/01 8:30:28 PM GMT-3","Ciência de Dados / IA / Machine Learning","Média","5","Adequada","5","5","5","5","5","5","Introdução e gancho inicial;Informações/Dados apresentados;Exemplos e casos de uso;Conclusão","5","Sim","Provavelmente sim","adorei o vídeo, explicação calma que dá para entender bem
Áudio MT agradável "
"2025/12/01 8:41:40 PM GMT-3","Tecnologia / TI","Baixa","5","Adequada","4","4","4","4","4","4","Exemplos e casos de uso","5","Sim","Provavelmente sim",""
"2025/12/01 9:18:17 PM GMT-3","Ciência de Dados / IA / Machine Learning","Baixa","5","Adequada","5","3","3","3","3","4","Exemplos e casos de uso","5","Sim","Provavelmente não",""
"2025/12/01 9:33:38 PM GMT-3","Tecnologia / TI","Baixa","5","Adequada","4","5","5","5","4","5","Informações/Dados apresentados","5","Definitivamente","Definitivamente sim",""
"2025/12/01 9:49:05 PM GMT-3","Ciência de Dados / IA / Machine Learning","Média","5","Adequada","5","5","5","5","5","5","Introdução e gancho inicial;Informações/Dados apresentados;Exemplos e casos de uso;Conclusão","5","Sim","Definitivamente sim",""
"2025/12/01 9:58:54 PM GMT-3","Área empresarial","Nenhuma","4","Adequada","4","5","4","5","5","4","Introdução e gancho inicial;Exemplos e casos de uso","4","Sim","Definitivamente sim",""